,Meet  the Investors You Want,,Purchase full investor lists,How to use a list of investors: A guide for startups,"Disclaimer: The information presented here is collected from public sources. It is subject to change from time to time, and Lucid Ventures Ltd (DBA ""Meet.Capital"") will not be held liable for any use or misuse of this list, nor will it be held accountable if any errors are found in it. Please research and check the links provided before reaching out to any investor. We encourage you to use the list thoughtfully. "
Front Four Ventures,http://front4ventures.com/,"Concord, Massachusetts, United States",https://www.linkedin.com/company/864636/,"We partner with inspirational entrepreneurs with exceptional promise in the consumer and digital commerce space.  We help them grow market-leading companies. Our Principals are all Founders. Experienced entrepreneurs with over decades of experience scaling ideas in the consumer sector. Approx 15% of our investments at any time are in companies that we helped found, invested in seed rounds and helped define the market; the remaining we invest alongside leading investment professionals and companies. ",
Tapestry Vc,https://tapestry.vc,"San Francisco, California, United States",https://www.linkedin.com/company/79449055/,"We are seed and early investors in breakout companies such as Hopin, Pitch, MetaMap, Manna, Zapp, Crossbeam, Nothing and Standard.

We back repeat and technical founders who are going after incumbents and new markets with a global view, and support them with our founder network.",
Goshen Fund,http://www.goshenfund.com,"Palo Alto, California, United States",https://www.linkedin.com/company/1556256/,"Goshen is an execution-oriented operation, leveraging a powerful pro-Israeli CEO alliance in the US with proven records of corporate success, domain expertise and business networks to take great Israeli technologies and transition business activity to US and global markets.  The Goshen Fund focuses on post-seed/pre-revenue companies with strong core technologies, low burn rates and clear near-terms plan to commercialization.  The Goshen Fund CEO alliance provides companies with access to Market, Management talent and Funding.  The Goshen Fund leverages significant valuation gap between Israel and the U.S. to attract funding and reduce investment risk, providing strong returns for the Goshen Fund.",
New Orleans Startup Fund,http://www.neworleansstartupfund.org,"New Orleans, Louisiana, United States",https://www.linkedin.com/company/1562348/,"The New Orleans Startup Fund is a nonprofit venture fund focused on business creation and innovation in the 10-parish Greater New Orleans region. The Fund exists to accelerate the growth of early-stage, pre-revenue companies looking for proof-of-concept capital.

The Startup Fund’s mission is to create jobs and economic prosperity for the 10-parish Greater New Orleans region by providing seed capital and business assistance to early-stage firms that demonstrate significant growth potential
________

PowerMoves.NOLA

Launched in 2014, PowerMoves.NOLA is an initiative created by the New Orleans Startup Fund to facilitate an inclusive entrepreneurial ecosystem and help minority-owned businesses in the city to scale. By providing legal, financial, and strategic guidance, PowerMoves.NOLA aims to close the gap for entrepreneurs of color.

Ultimately, the program’s goal is to improve the economic security of families, increase revenue, and expand employment in local businesses led by entrepreneurs of color.

Funding for PowerMoves.NOLA is generously provided by a grant from the W. K. Kellogg Foundation.",
Visium Ventures,http://www.visium.com,"San Francisco, California, United States",https://www.linkedin.com/company/841825/,"Visium is a venture catalyst organization that works exclusively with founders of early stage companies and their management team including:

Leading seed stage deals for qualified companies

Defining relevant and differentiated business models and launching new products and markets

Identifying and capturing new clients and partners

Identifying and implementing ""Go To Market Strategies""​, including product, pricing, partnering strategies

Forging key alliances and making relevant investor introductions on to East and West coast VCs

Realizing Value for Founders by structuring relevant Term Sheets and Acquisition Offers",
Planet Forward Ventures,http://planetforward.vc,"California, United States",https://www.linkedin.com/company/86947911/,Planet Forward is about cultivating seed-stage startups focused on climate-positive software solutions,
Vitamin Capital,https://vitamin.capital,"Malibu, California, United States",https://www.linkedin.com/company/80253759/,"We are current and former operators that believe traction, fundraising, and revenue all come from finding and maintaining product-market fit. We believe in teams that achieve this through rapid learning and iteration with their customers at the center of that experience.

We support founders regardless of the stage. Our favorite sectors are SaaS, CPG, Cannabis, Health, and Fintech. We always aim to move your company fast through the investment pipeline.  We follow on at any stage post seed round.",
Indicator Fund,http://indicatorfund.com,"San Francisco, California, United States",https://www.linkedin.com/company/94456983/,Seed Investing with Friends,
DN Capital,http://dncapital.com,"Menlo Park, California, United States",http://www.linkedin.com/company/dn-capital,"DN Capital is a global early stage and growth capital investor focused on Seed, Series A and select series B investments in fintech, SaaS, digital media, e-commerce, marketplaces, mobile applications and software companies. The firm was founded in 2000 and has operations in London, Berlin and Silicon Valley. DN Capital’s previous funds are top performers and the firm is one of the lead investors in companies such as Endeca (sold to Oracle), Shazam (one of the world’s leading mobile app), Auto1 (world's largest used car marketplaces), Purplebricks (IPO London) and Quandoo (sold to Recruit).",
Valley Growth Ventures,http://www.valleygrowthventures.com,"Youngstown, Ohio, United States",https://www.linkedin.com/company/valley-growth-ventures/?originalSubdomain=in,A “micro” venture capital investment fund created to support high-growth.,
Virginia Venture Partners,https://www.virginiaipc.org/vvp,"Herndon, Virginia, United States",https://www.linkedin.com/company/virginia-venture-partners,Virginia Venture Partners invests in seed-stage technology and life science companies.,
Ulu Ventures,http://www.uluventures.com,"Palo Alto, California, United States",https://www.linkedin.com/company/ulu-ventures,"Ulu Ventures is a leading seed-stage venture fund investing in diverse teams as well as Enterprise IT, FinTech, and Deep Tech startups.",
TSVC,http://www.tsvcap.com,"Los Altos, California, United States",https://www.linkedin.com/company/tsvcap,TSVC is a venture capital firm that focuses on seed-stage technology startups.,
TIA Ventures,https://www.tiaventures.com/,"Turlock, California, United States",https://www.linkedin.com/company/thought-into-action-ventures,"TIA Ventures is a seed-stage venture capital fund focused on B2B software, helping new businesses scale into industry standards.",
Spider Capital,http://www.spidercapital.com,"San Francisco, California, United States",https://www.linkedin.com/company/spider-capital-partners/,Spider Capital is a seed-stage enterprise venture capital focused on the digital transformation of industry.,
SparkLabs Global Ventures,http://www.sparklabsglobal.com,"Palo Alto, California, United States",https://www.linkedin.com/company/sparklabs-global-ventures,SparkLabs Global Ventures is a seed-stage investment firm.,
Sandalphon Capital,http://sandalphoncapital.com,"Chicago, Illinois, United States",https://www.linkedin.com/company/sandalphon-capital,Sandalphon Capital is a micro venture capital firm focused on Seed to Series A investments,
SaaS Ventures,https://www.saasventurecapital.com/,"Miami, Florida, United States",https://www.linkedin.com/company/saas-venture-capital/about/,SaaS Ventures is a seed stage venture capital fund focused on enterprise tech.,
MedMountain Ventures,https://mmv.vc/,"Salt Lake City, Utah, United States",https://www.linkedin.com/company/mmv-vc,MedMountain Ventures is a Seed VC that seeks to invest in companies that make a meaningful advancement to the care of patients.,
Liquid 2 Ventures,http://liquid2.vc/,"San Francisco, California, United States",https://www.linkedin.com/company/liquid-2-ventures/,Liquid 2 Ventures provides technology startups with seed-stage investments.,
KCRise Fund,https://kcrisefund.com/,"Kansas City, Missouri, United States",https://www.linkedin.com/company/kcrise-fund/,KCRise Fund is a Kansas City-based VC firm investing in Seed & Series A stage technology companies in Kansas and western Missouri.,
igniteXL Ventures,http://ignitexl.vc/,"Palo Alto, California, United States",https://www.linkedin.com/company/ignitexl/,"igniteXL Ventures is a global seed fund backing exceptional founders at the intersection point of technology, beauty, and wellness.",
Cowboy Ventures,http://www.cowboy.vc,"Palo Alto, California, United States",https://www.linkedin.com/company/cowboy-ventures,Cowboy Ventures is a generalist seed-stage fund focused fund investing in technology startups.,
Contour Venture Partners,http://www.contourventures.com,"New York, New York, United States",https://www.linkedin.com/company/contour-venture-partners/,"Contour Venture Partners is a seed stage venture capital firm that invests in the enterprise SaaS, B2B SaaS and financial services sectors.",
Cofounders Capital,http://cofounderscapital.com/,"Cary, North Carolina, United States",https://www.linkedin.com/company/cofounders-capital,"Cofounders Capital is a B2B software seed fund investing in the Southeast, with a particular focus on North Carolina",
Betaworks Ventures,https://betaworksventures.com/,"New York, New York, United States",https://www.linkedin.com/company/betaworks-ventures/,"Betaworks Ventures is a product-focused, seed-stage venture capital fund based in New York City and San Francisco.",
97212 Ventures,https://www.97212.vc/,"New York, New York, United States",https://www.linkedin.com/company/97212-ventures/,"Based in New-York, 97212 Ventures is a seed fund exclusively focused on investing in top early stage Israeli startups.",
Founder Collective,http://foundercollective.com,"Cambridge, Massachusetts, United States",https://www.linkedin.com/company/349075?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A349075%2Cidx%3A2-1-4%2CtarId%3A1441405914518%2Ctas%3AFounder%20Collective,Founder Collective is a seed-stage venture capital fund that helps entrepreneurs build their businesses.,
Brooklyn Bridge Ventures,http://brooklynbridge.vc,"New York, New York, United States",https://www.linkedin.com/company/10891696?trk=prof-exp-company-name,"Brooklyn Bridge Ventures is a seed stage investor. That typically means pre-revenue, pre-Powerpoint, pre-business plan, and even",
Morado Ventures,http://www.moradoventures.com,"Palo Alto, California, United States",https://www.linkedin.com/company/morado-ventures-llc,"Morado Ventures is focused on high-growth, seed-stage technology companies, with particular emphasis on “Data-fueled” businesses.",
Refactor Capital,http://www.refactor.com,"Burlingame, California, United States",https://www.linkedin.com/company/refactor-capital/,"Refactor Capital is a seed stage VC firm investing in climate, bio, and health.",
Purple Sage Ventures,http://purplesageventures.com,"New York, New York, United States",https://www.linkedin.com/company/purple-sage-ventures,"We invest in exceptional startups led by extraordinary female founders. Our primary focus is on tech-enabled products or services that impact people, planet, and productivity. We invest in seed and Series A stage companies and participate in follow-ons rounds in later stages.",
Pathway Bioventures,http://www.pathwaybioventures.com,"Chicago, Illinois, United States",https://www.linkedin.com/company/pathwaybioventures,"Pathway Bioventures is a seed-stage life sciences fund investing in next-generation therapeutics, medical device, and diagnostics companies.",
Overton Venture Capital,http://www.overtonvc.com,"New York, New York, United States",https://www.linkedin.com/company/overton-venture-capital,Overton Venture Capital is an early-stage venture capital firm investing in transformative brands and services. We partner with ambitious entrepreneurs who are meeting the challenges and opportunities of today’s rapidly evolving consumer landscape.,
NextGen Venture Partners,http://nextgenvp.com,"Baltimore, Maryland, United States",https://www.linkedin.com/company/nextgen-venture-partners/,NextGen Venture Partners invests in seed-stage companies with the participation of their venture partners.,
August Capital,http://www.augustcap.com,"Menlo Park, California, United States",http://www.linkedin.com/company/august-capital,August Capital is a private equity and venture capital firm specializing in investments growth capital and startup investments.,
Muse Capital,https://www.musecapital.vc,"Sherman Oaks, California, United States",https://www.linkedin.com/company/muse-capital/,Muse Capital is a seed stage fund that focuses on investing in entrepreneurs who are disrupting the consumer space.,
Crosslink Capital,http://www.crosslinkcapital.com,"Menlo Park, California, United States",http://www.linkedin.com/company/crosslink-capital,"Crosslink Capital partners with founders that are market disrupters and category creators, typically at the Seed-Series A stage.",
Susa Ventures,http://www.susaventures.com,"San Francisco, California, United States",http://www.linkedin.com/company/susa-ventures,Susa Ventures is an early-stage venture capital firm investing primarily in seed rounds.,
TDF Ventures,http://www.tdfventures.com,"Chevy Chase, Maryland, United States",http://www.linkedin.com/company/tdf-ventures,TDF Ventures is a venture capital firm that targets seed and Series A investments in technology companies.,
Lux Capital,http://www.luxcapital.com,"New York, New York, United States",http://www.linkedin.com/company/lux-capital,"Lux Capital is an investment firm that invests in counter-conventional, seed-stage science and technology ventures.",
Correlation Ventures,http://correlationvc.com,"San Diego, California, United States",https://www.linkedin.com/company/1417265,"Correlation Ventures finances early, seed, and later stage venture, and debt financing investments and is based in California.",
645 Ventures,http://www.645ventures.com,"New York, New York, United States",https://www.linkedin.com/company/645-ventures,645 Ventures partners with exceptional founders at Seed and Series A to build iconic companies that scale to the growth stage.,
Root Ventures,http://www.root.vc/,"San Francisco, California, United States",https://www.linkedin.com/company/6463550,Root Ventures is a seed stage deep tech firm investing in technical teams.,
Veligera Capital,https://veligera.com/,"New York, New York, United States",https://www.linkedin.com/company/79799857,Veligera Capital is an investment Fund that invests in late-stage high-tech startups.,
Berkeley Catalyst Fund (BCF),https://berkeleycatalystfund.com/,"San Francisco, California, United States",https://www.linkedin.com/company/berkeley-catalyst-fund/,The Berkeley Catalyst Fund (BCF) provides funding to startups and helps foster the vibrant startup ecosystem around the UC system and surrounding San Francisco Bay Area. BCF invests primarily in Seed and Series A stage private companies.,
Costanoa Ventures,http://www.costanoavc.com,"Palo Alto, California, United States",https://www.linkedin.com/company/costanoa-ventures,"Seed and Series A investors backing tenacious and thoughtful founders who change how business gets done. The firm's investments include companies such as Alation, BillGo, Demandbase, Kenna Security, Roadster, and Quizlet. For more information, visit http://www.costanoavc.com.",
IA Ventures,http://www.iaventures.com,"New York, New York, United States",http://www.linkedin.com/company/ia-ventures,IA Ventures is a venture capital firm that specializes in seed-stage investments and the fintech sector.,
Growth Warrior Capital,https://www.growthwarriorcapital.com/,"Austin, Texas, United States",https://www.linkedin.com/company/growthwarriorcapital/,"Growth Warrior Capital invests in experienced diverse and female founders, at seed and series A, building equitable solutions in AI/ML, Fintech + Future of Work, striving for a world where economic sovereignty is the new standard for success.",
1984 Ventures,http://1984.vc,"San Francisco, California, United States",https://www.linkedin.com/company/1984-ventures/,"1984 Ventures is an early-stage venture capital firm that seeks to invest in fintech, healthcare, SaaS, e-commerce, and consumer sectors.",
AgFunder,http://agfunder.com,"San Francisco, California, United States",http://www.linkedin.com/company/agfunder,AgFunder invests in impactful companies that can positively transform the world's food system.,
Amplo,http://amplovc.com,"Spring, Texas, United States",https://www.linkedin.com/company/amplovc,Amplo is a global venture capital firm helping build companies that matter.,
AV8 Ventures,http://av8.vc,"Palo Alto, California, United States",https://www.linkedin.com/company/av8-vc/,"AV8 Ventures is an early stage investor in enterprise software, fintech & insurtech, and biotech & healthcare companies.",
Bee Partners,http://beepartners.vc,"San Francisco, California, United States",https://www.linkedin.com/company/beepartnersvc,Bee Partners is a preSeed DeepTech venture capital firm that partners with extraordinary Founders building frontier technologies.,
Boost VC,http://boost.vc,"San Mateo, California, United States",https://www.linkedin.com/company/boost-vc,Boost VC is a venture capital firm that invests in early stage deep tech startups.,
Better Tomorrow Ventures,http://btv.vc,"San Francisco, California, United States",https://www.linkedin.com/company/better-tomorrow-ventures,Better Tomorrow Ventures (BTV) is an early stage fintech focused fund that leads rounds in pre-seed and seed-stage companies.,
Builders VC,http://builders.vc/,"San Francisco, California, United States",https://www.linkedin.com/company/33219863/,Builders VC is an early-stage VC focused on investing where technology meets new business models to modernize antiquated industries.,
Bullpen Capital,http://bullpencap.com,"San Francisco, California, United States",http://www.linkedin.com/company/bullpen-capital,Bullpen is a venture capital fund that invests in post-seed capital into early-stage companies.,
Chicago Ventures,http://chicagoventures.com,"Chicago, Illinois, United States",http://www.linkedin.com/company/3197829,"We give founders better odds. We believe enduring companies can be built anywhere, by anyone. We lead early rounds before it’s obvious, and serve as active, operationally-involved partners during a company’s earliest days.",
CincyTech,http://cincytechusa.com,"Cincinnati, Ohio, United States",http://www.linkedin.com/company/cincytech-usa,"CincyTech is one of the Midwest's most active seed funds, investing in disruptive human health and technology companies in Ohio.",
Clear Ventures,http://clear.ventures,"Palo Alto, California, United States",https://www.linkedin.com/company/7968012?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A425041464899560808%2CVSRPtargetId%3A7968012%2CVSRPcmpt%3Acompanies_cluster,"We are a Silicon Valley venture capital ﬁrm purpose-built to help startup teams win in frontier technology and services. With $335 million of capital from a world-class investor base, Clear provides early seed capital, connections, and company-building insights and guidance. We work with bold, exceptional startup teams to grow their ideas into market-leading companies.",
CMT Digital Ventures,http://cmt.digital,"Chicago, Illinois, United States",https://www.linkedin.com/company/cmt-digital-ltd/,CMT Digital is a venture capital firm engaging in the crypto asset and Blockchain technology industry.,
Deciens Capital,http://deciens.com,"San Francisco, California, United States",https://www.linkedin.com/company/deciens-capital/about/,Deciens Capital is a venture capital firm that supports early-stage founders building the next generation of financial services.,
Definition,http://definitioncap.com/,"New York, New York, United States",https://www.linkedin.com/company/definition-capital/,Definition is a venture capital investment firm that invests in category-defining software companies.,
Drive Capital,http://drivecapital.com,"Columbus, Ohio, United States",https://www.linkedin.com/company/drivecapital,"Drive Capital is a private investment firm that partners with entrepreneurs in building long-term, sustainable businesses.",
Dynamo,http://dynamo.vc,"Chattanooga, Tennessee, United States",https://www.linkedin.com/company/dynamovc/,Dynamo invests in founders building technology businesses in supply chain and mobility.,
eLab Ventures,http://elabvc.com/,"Ann Arbor, Michigan, United States",https://www.linkedin.com/company/michigan-elab,We invest in businesses where AI is the difference in creating market disruption,
Elefund,http://elefund.com,"Mountain View, California, United States",https://www.linkedin.com/company/elefund,"Elefund is a thesis-driven, micro venture capital focused on investments in early-stage technology companies.",
Elevate Capital,http://elevate.vc,"Hillsboro, Oregon, United States",https://www.linkedin.com/company/elevate-capital-fund,Elevate Capital is a seed and early-stage investment firm with a focus in the Pacific Northwest and investing in under-represented founders.,
Fifty Years,http://fiftyyears.com/,"San Francisco, California, United States",https://www.linkedin.com/company/10774072,Fifty Years is an early stage VC fund backing entrepreneurs solving the world's biggest problems.,
Fika Ventures,http://fika.vc,"Culver City, California, United States",https://www.linkedin.com/company/fika-ventures,"Fika Ventures is a seed fund that focuses on enterprise and B2B software, FinTech, marketplaces, and digital health.",
Fontinalis Partners,http://fontinalis.com,"Detroit, Michigan, United States",https://www.linkedin.com/company/fontinalis-partners-llc,"Fontinalis Partners, with offices in Detroit and Boston, is a venture capital firm strategically focused on next-generation mobility.",
Forerunner Ventures,http://forerunnerventures.com,"San Francisco, California, United States",https://www.linkedin.com/company/6664102,"We’ve invested in category-defining companies like Faire, Chime, Glossier, Hims&Hers, OURA, The Farmer’s Dog, Ritual, and more. With over $2.3 billion in assets under management and hundreds of investments to date, Forerunner is amongst the first women-led venture capital firms to achieve such milestones.",
Framework Ventures,http://framework.ventures/,"San Francisco, California, United States",https://www.linkedin.com/company/framework-ventures/,Framework Ventures is a venture capital firm that invests in founders that enable blockchain technologies.,
The Games Fund,http://gamesfund.vc,"Los Angeles, California, United States",https://www.linkedin.com/company/thegamesfund,TGF is an early-stage VC fund founded by video games industry veterans.,
Headline,http://headline.com,"San Francisco, California, United States",https://www.linkedin.com/company/headlinevc,Headline is a global venture capital firm investing in winning teams across stages and geographies.,
Hustle Fund,http://hustlefund.vc,"San Carlos, California, United States",https://www.linkedin.com/company/hustle-fund,Hustle Fund backs hilariously-early founders at the pre-seed and seed stages.,
Hyperplane,http://hyperplane.vc,"Boston, Massachusetts, United States",https://www.linkedin.com/company/hyperplane-venture-capital,Hyperplane is an investment firm backing exceptional founders building machine intelligence and data companies.,
iFly.vc,http://ifly.vc/,"Austin, Texas, United States",https://www.linkedin.com/company/ifly-vc/,iFly.vc is an early-stage VC firm based in the Austin Area. We invest in the seed to Series A stages across the value chain of traditional industries with the initial focus on commerce. We don’t follow the herd. We look for gritty entrepreneurs who are solving tremendous problems and creating real value in any sector that may appear unglamorous.,
Las Olas Venture Capital,http://lasolasvc.com,"Fort Lauderdale, Florida, United States",https://www.linkedin.com/company/lasolasvc,Las Olas Venture Capital (LOVC) is an early-stage venture capital firm that invests in B2B software companies in the Eastern United States.,
LiveOak Venture Partners,http://liveoakvp.com,"Austin, Texas, United States",http://www.linkedin.com/company/liveoak-venture-partners,LiveOak Venture Partners is a venture capital firm making early-stage investments in technology and technology-driven services.,
Looking Glass Capital,http://lookingglass.vc,"New York, New York, United States",https://www.linkedin.com/company/looking-glass-capital,"Looking Glass invests in pre-seed and seed-stage startups solving the biggest challenges in health, human capital, and the environment.",
MaC Venture Capital,http://macventurecapital.com/,"Abilene, Texas, United States",https://www.linkedin.com/company/mac-venture-capital,"MaC Venture Capital is an early-stage venture capital firm focused on finding ideas, technology, and products that can become infectious.",
MassVentures,http://mass-ventures.com,"Boston, Massachusetts, United States",https://www.linkedin.com/company/massventures,MassVentures is a venture capital firm focused on supporting Massachusetts-based startups to prosper in their businesses.,
Metrodora Ventures,http://metrodora.vc/,"New York, New York, United States",https://www.linkedin.com/company/metrodora-ventures/,Metrodora Ventures is a venture capital firm focuses on health and learning businesses.,
Naples Technology Ventures,http://naplestechnologyventures.com/,"Naples, Florida, United States",https://www.linkedin.com/company/naples-technology-ventures/,Naples Technology Ventures is a venture capital firm focused on investing in early-stage technology and services companies.,
North Island Ventures,http://northisland.ventures,"New York, New York, United States",https://www.linkedin.com/company/north-island-ventures,NIV is a crypto-focused investment firm ,
PJC,http://pjc.vc,"Boston, Massachusetts, United States",https://www.linkedin.com/company/pjcvc,"PJC is an early-stage venture capital firm with a focus on enterprise, consumer, and artificial intelligence.",
Playground Global,http://playground.global,"Palo Alto, California, United States",https://www.linkedin.com/company/playground-global,Playground is an early-stage firm investing in science companies working at the intersection of artificial intelligence and automation.,
Race Capital,http://race.capital/,"Palo Alto, California, United States",https://www.linkedin.com/company/racecapital/,Race Capital is an early-stage venture capital fund focused on all things infrastructure,
Riot Ventures,http://riot.vc,"Los Angeles, California, United States",https://www.linkedin.com/company/riotvc,"Riot Ventures invests in deep technology with a focus on intelligence, sensing and control, communications, mobility and security.",
SALT Fund,http://salt.org,"New York, New York, United States",https://www.linkedin.com/company/salt-conference/,SALT Fund is an investment fund affiliated with the SALT event & media company.,
Samsung NEXT,http://samsungnext.com,"Mountain View, California, United States",https://www.linkedin.com/company/samsung-next,Samsung NEXT invests in transformative seed-stage software and services startups.,
Storm Ventures,http://stormventures.com,"Menlo Park, California, United States",https://www.linkedin.com/company/storm-ventures,Storm Ventures is a venture capital firm focused solely on early-stage enterprise investments.,
,,,,,
Purchase the full list,,,,,